LDC_Translation_1	LDC_Translation_2	LDC_Translation_3
High Commissioner Wajid Shamsul Hassan gave his initial statement regarding Pakistan's investigation, which gives some indication as to what could be in the investigation report.	The High Commissioner Wajid Shams-ul-Hasan has given the first-ever statement about Pakistani investigations which gives a clue what could be in the investigation report.	This is the first statement by the Pakistani High Commissioner, Wajid Shamsul Hassan, regarding the investigations that gives a clue about the contents of the investigation report.
Wajid Shamsul Hassan said, "So far the investigators have concluded that nothing took place on Pakistani soil.	Wajid Shams-ul-Hasan said: "Pakistani territory has not been used according to the conclusions reached by the investigators so far."	Wajid Shamsul Hassan said: 'As of now the investigators have concluded that Pakistani territory was not used.
It could be any other place, with the exception of Britain.	This may be some other place, not even Britain.	It is some other place, not even Britain.
These two places (Pakistan and Britain) were the ones that I was worried about."	These were the two places (Pakistan and Britain), I was concerned about.	These are the two places, Pakistan and Britain, about which I was concerned.
India and the international community have put a lot of pressure on Pakistan to take action against those responsible for the Mumbai attacks. Pakistan says it has taken dozens of people into custody in its actions against groups allegedly involved in the Mumbai attacks.	India and the international community have put enough pressure on Pakistan to take action against those who are responsible for the Mumbai attacks. Pakistan says that it has arrested dozens of people in the action against groups allegedly involved in the Mumbai attacks.	India and the international Community have put extensive pressure on Pakistan to act against those responsible for the Mumbai attacks. Pakistan says that it has arrested dozens of people in connection with its actions against groups allegedly behind Mumbai attacks.
Wajid Shamsul Hassan said, "We are not trying to cover it up.	Wajid Shams-ul-Hasan said: "We are not trying to cover it.	Wajid Shamsul Hassan said: 'We are not trying to cover up.
We believe in taking action based on facts.	We believe in acting on the facts.	We believe in acting on facts.
Our investigation should meet with the world's approval.	Our investigations will be acceptable to the world.	Our investigations will be accepted by the world.
We will try to satisfy India with the results (of the investigation)."	We will try to satisfy India with the results (of investigations).	We will try to convince India by the investigation results.
Defending the delay in Pakistan's investigation, he said that collecting, examining, and understanding this kind of material takes time.	He said, while defending the delay in the Pakistani investigations, that it takes time to collect, understand and test this type of material.	Defending the delay in Pakistani investigations, he said, it takes time to collect, understand and scrutinize this type of material.
High Commissioner Wajid Shamsul Hassan said that India took 45 days to present its dossier.	High Commissioner Wajid Shams-ul-Hasan said it took 45 days for India to present their dossier.	Pakistani High Commissioner said that it took India 45 days to present its dossier.
Black Man Also Elected as Republican Leader	Republicans also Elect a Black as their Leader	A Black Leader Elected in Republican Party Also
Michael Steele gained victory in the Republican Party's sixth cycle of elections, winning 91 of 168 votes.	In the sixth phase of the elections in the Republican Party, Michael Steele, who got 91 votes out of 168 votes, won.	In the sixth round of elections in the Republican Party, Michael Steele has emerged victorious who, out of 168 votes secured 91 votes.
In the election for the role as party chairman, competing candidate Katon Dawson received 77 votes, while ex-chairman Duncan withdrew from the competition during the second cycle.	In the election for the post of the Party Chairman, the opponent of Steele, Katon Dawson, got 77 votes, while the former chairman Duncan withdrew from the contest in the second phase.	In the elections for the chairmanship of the Party, Steele's rival candidate Katon Dawson received 77 votes whereas the former Chairman Duncan withdrew in the second phase.
Correspondents say that Michael Steele is considered the most moderate leader among the five candidates who stood for the chairmanship of the Republican Party.	The correspondents say that out of those five candidates who were contesting for the chairmanship of the Republican Party, Michael Steele is accepted as the most moderate leader.	According to correspondents, of the five candidates for the Chairmanship of the Republican Party, Michael Steele is considered to be the most moderate.
After the victory, Michael Steele said in his speech, "We are going to tell our friends and opponents together to join us, but those who want to get in the way should get ready to back off." Michael Steele is from Maryland, where he has also served as lieutenant governor.	After the victory, Michael Steele said in his address, "we are going to ask our friends and foes together to come with us, but those who would try to put obstacles in it, should get ready to stay away from us." Michael Steele belongs to Maryland, where he had also been the Lieutenant Governor.	In his post victory address Michael Steele said, 'I am here to invite both our friends and foes to come with us but those who want to create rifts should get ready to move away. Michael Steel is from Maryland where he has also served as Deputy Governor.
He became famous in 2006 when he ran for a Senatorial seat in the election.	He became famous in 2006, when he contested in elections for a seat of the Senate.	He rose to fame in 2006 when he stood in the election for a Senate.
However, after losing in the Senate elections, he was made chairman of the party's political Conservative Committee.	However, after losing in the elections, he was appointed chairman of the Political Conservative Committee of the party.	But after the loss of the Senate elections he was made Chairman of the Party's Political Conservative Committee.
Now that he has been elected as party chairman, the Republican Party's national campaign efforts will be under his guidance.	Now, after being elected as Chairman of the party, the countrywide campaign endeavors of the party will be under his supervision.	Now after his election as the Chairman of the Party, the nationwide campaigns of the Republican Party will be conducted under his supervision.
He has run in the election promising to give new direction to the party and to use new techniques to align conservative supporters with the party.	He has contested in the election with a promise that he will give a new direction to the party and will use a new strategy to keep the pro-fundamentalists united with the party.	He fought the election on the promise that he would lend a new dimension to the party and try new techniques to bring back conservative supporters to the Party.
India Claims that Lashkar-e-Tayaba and Jaish-e-Mohammed Are Present in Jammu	Indians Claim Presence of Lashkar-e-Taiba and Jaish-e-Mohammad in Jammu	India Claims Presence of Lashkar-e-Taiba, Jaish-e-Mohammad in Jammu
There are reports of militants being present in the Poonch district of Jammu.	Information is available regarding the presence of terrorists in District Poonch of Jammu.	There are reports of the presence of militants in Poonch District of Jammu.
According to official sources, upon receiving secret information, the police and army surrounded the area and began conducting searches.	According to official sources, after getting the confidential information, the Army and Police cordoned off the area and began a search.	According to official sources, acting on a tip-off, the army and police surrounded the area and started searches.
At this time fighting began during which four militants, two soldiers, and one policeman were killed.	In the meantime, a scuffle started in which four terrorists, two soldiers and one police official were killed.	Meanwhile, clashes began resulting in the death of four militants, two soldiers and one policeman.
According to sources, the most recent reports indicate that fighting is still underway and militants with ties to Lashkar-e-Tayaba and Jaish-e-Mohammed are present in the area, with whom further army reinforcements have been sent to fight.	According to the sources, until the last information received, skirmish was going on and the terrorists belonging to Lashkar-e-Taiba and Jaish-e-Mohammad were present in that area and more soldiers have been sent there to combat them.	According to sources, till last reports were received, these clashes still continue and militants belonging to Lashkar-e-Taiba and Jaish-e-Mohammad are still present in the area. More forces have been sent there to combat them.
Meanwhile, Omar Abdullah, the Chief Minister appointed by the coalition government, met with the Governor and gave him official notification of his selection as the leader of the Assembly by his party, the National Conference.	Meanwhile, Omar Abdullah, Chief Minister appointed by the coalition government, met with the Governor and informed him of his appointment as the leader of the Assembly on behalf of his party the National Conference.	Meanwhile, the coalition nominated Chief Minister Omar Abdullah met with the Governor and informed him about his election as the Leader of National Conference in the Assembly.
National Conference's supportive party Congress also informed the Governor of its support for Omar Abdullah.	Congress, the ally of the National Conference, also informed the Governor of their support for Omar Abdullah.	National Conference ally Congress, also informed the Governor about its support for Omar Abdullah.
Omar Abdullah will be given the oath as Chief Minister of State tomorrow.	Omar Abdullah will be sworn in tomorrow as the Chief Minister of the state.	Omar Abdullah will be given oath as the Chief Minister of the State tomorrow.
It should be noted that in the recent state elections, National Conference, after winning 28 seats in the 87-member House, has emerged as the largest party. Separatist parties had boycotted the elections.	It should be remembered that in the current state elections, the National Conference has emerged as the largest party after getting 28 seats in the Assembly of 87 members. It should remain clear that separatist parties have boycotted the elections.	It may be recalled that in the recent State elections, National Conference won 28 seats in the 87-member assembly. It should be noted that separatist groups did not participate in the elections.
Congress, which obtained 17 seats, has agreed to form a coalition government with National Conference.	Congress, which has 17 seats, has agreed to form a coalition government with the National Conference.	Congress which won 17 seats, agreed to form a coalition government with National Conference.
Upon his arrival in Srinagar today, party workers gave Omar Abdullah a warm welcome.	The party workers gave a warm welcome to Omar Abdullah today on his arrival to Srinagar.	Today on arrival in Srinagar, party workers gave Omar Abdullah a warm welcome.
At this point Omar Abdullah says that he will play his role in making negotiations possible between the Indian government and the separatists, but that this will not be possible until elections take place and the new government comes into power.	On this occasion, Omar Abdullah said that he would play his role in making the talks possible between separatists and the Indian government; however, it would not be possible until the elections are held in India and the new government comes into power.	On this occasion, Omar Abdullah said that he will play his part in bringing about a dialogue between the Indian government and the separatists, however, this will not be possible until elections are held in India and new government comes into power.
Role of European Union for Peace in Middle East	European Union's Role in Middle East Peace	Role of European Union for Peace in Middle East
When viewed from an official standpoint, the role of the European Union in the conciliatory efforts to stop the war in the Middle East is decisive.	If seen from the official perspective, the European Union's role in reconciliation efforts to stop the Middle East war is decisive.	If seen officially, the European Union has a decisive role to play in the efforts to establish peace in the Middle East
According to the official stand of Brussels, Schwarzenberg's delegation or Sarkozy's efforts are the equivalent to lending a helping hand.	According to the Brussels government stand, efforts of the Schwarzenberg delegation or Sarkozy's are synonymous to help in this task.	According to the official position of Brussels, efforts of Schwarzenberg delegation or Sarkozy are equivalent to lending a supportive hand in this regard.
Amadeu Altafaj, spokesperson for the European Commission, said that every effort by which the European Commission's concerted message can be sent to warring parties is praiseworthy.	The spokesman of the European Commission Amadeu Altafaj said that all such efforts through which sending a joint message to the warring parties from the European Union could be helpful, are worthy of praise.	Spokesman for the European Commission, Amadeu Altafaj, said, any such effort is commendable that will help to convey the joint message of the European Union to the warring factions.
As far as its official statement is concerned, everything looks fine.	Everything looks fine from the perspective of the official statement.	As far as the official statement is concerned everything seems fine.
But in reality the European Union is presenting a sad picture of its own internal tug-of-war.	But, in reality, the European Union is presenting a regretful picture of the internal tug of war.	But in reality, the European Union presents a sad picture of internal conflicts.
As Union President, the role of the Czech Republic has already been weak.	The role of the Czech Republic as the President of the Union is already weak.	Role of the Czech Republic as President of the Union is already weak.
On top of that, internal disputes have rendered it helpless.	On top of this, the internal wrangling has made it helpless.	On top of it, the internal conflicts have rendered it helpless.
On the other hand, French President Sarkozy is acting as though he is still performing the presidential duties of the European Union.	On the other hand, the French President Sarkozy is acting like he is still discharging the duties as the president of the European Union.	On the other hand, the French President is behaving as if he is still discharging his duties as the President of the European Union.
Even though France has completed its six-month presidential term.	Although France has already completed its six-month presidential tenure.	Although France has already completed its six month term.
Sarkozy wants to play a leadership role, and he is certainly capable, but he does not have the permission to do so.	Sarkozy wants to play the lead role and he can do it; but he is not permitted for this.	Sarkozy wants to play a leading role and he does have the ability to do that but he does not have permission to do so.
French Foreign Minister Bernard Kouchner is faced with the most ludicrous situation.	The most embarrassing situation is being faced by French Foreign Minister Bernard Kouchner.	French Foreign Minister Bernard Kouchner finds himself in the most absurd situation
He is included in the delegation led by Czech Republic's Foreign Minister Schwarzenberg.	He is in the delegation which is headed by the Foreign Minister of the Czech Republic, Schwarzenberg.	He is part of the delegation that is being led by the Foreign Minister of Czech Republic, Schwarzenberg.
However, both Foreign Ministers are making different statements about the war in the Middle East.	And on top of this, both foreign ministers are giving different statements about the Middle East war.	On top of that, both Foreign Ministers are giving divergent statement regarding the Middle East war.
Schwarzenberg says that Israel has the right to defend itself, while Kouchner thinks that this war cannot be called one of self-defense. Meanwhile Germany has also sent its own special envoy to the Middle East. Until the European Union demonstrates harmony by taking a united stand, it cannot achieve success on the diplomatic front.	Kouchner says that Israel has a right of self-defense, while according to Schwarzenberg, this war does not come under self defense. In the meantime, Germany has also sent its special envoy to the Middle East. Until the European Union shows harmony based on similar point of views, it cannot succeed on the diplomatic front.	Kouchner believes that Israel has the right to defend itself whereas according to Schwarzenberg this war does not fall under the category of self defense. On the other hand Germany has also dispatched its special envoy to the Middle East. Until the European Union shows cohesiveness in its stand it can never be successful at the diplomatic front.
Evidence of this is Israel's conduct, which does not show any respect for Europe's conciliatory efforts.	The proof of this is the attitude of Israel, which does not give any importance to the reconciliation efforts of Europe.	The proof for this is Israeli attitude that does not give any credence to the peace initiatives of Europe
This is a golden opportunity for the European Union to do something because America has failed in the Middle East due to the policies of George W. Bush.	This is the golden opportunity for the European Union to accomplish something, as America has already failed in the Middle East due to the policies of George W. Bush.	This is a golden opportunity for the European Union to do something because America has failed in the Middle East due George W. Bush's policies.
Financial Crisis: Billionaire German Industrialist's Suicide	Economic Crisis: Billionaire German Industrialist Commits Suicide	Economic Crisis: German Billionaire Industrialist Commits Suicide
Adolf Merckle of Southern Germany's Swabia area has left a large business group behind,	Although Adolf Merckle, a resident of the area of Swabia of South Germany, has left a huge business group after him.	Adolf Merckle of south Germany has left behind a huge business group.
but until some time ago the average German citizen did not know much about him.	But the common German citizens did not know much about him up until a little while ago.	But a little while ago ordinary German citizen did not know much about him.
When he had to carry on negotiations for several weeks with the nearly thirty banks who lend money to his industrial group, he became the topic of headlines and began to see the future of the Merckle group as bleak.	Then, when he had to negotiate with about 30 banks for many weeks which provided loans to his business group, he became the subject of the headlines, and the future of Merckle Group also looked to bleak him.	And when he had to negotiate for several weeks with nearly 30 banks that gave loans to his business group, he came into limelight and he could also see the future of Merckle Group as bleak.
The Merckle group was forced to suffer millions of euros in losses due to the financial crisis, after purchasing shares of the German Volkswagen manufacturer.	Merckle Group also had to bear a loss of hundreds of millions of Euros due to the financial crisis after buying shares of German car manufacturing company Volkswagen.	Merckle Group faced loss of several hundred million euros after buying shares of the German car manufacturer Volks Wagen, due to the economic crisis.
So when financial institutions refused to make new loans of between 700 million and one billion euros to this group, which they desperately needed, Merckle came under intense pressure.	And when the financial institutions denied the new loans, valued at between 700 million and one-billion Euros, mandatorily needed by this group, Merckle came under severe stress.	After that, when financial institutions declined to lend to this Group the required loan of 700 million to 1 billion euros, Merckle came under immense pressure.
Just recently the same banks had agreed to provide loans to the Merckle group on an emergency basis, but Adolf Merckle, who had moved from being a small industrialist to the position that his industrial group's annual income was approximately 30 billion euros, could not withstand the deprivation of his strength as a capitalist.	Sometime back, these very banks had agreed to provide loans to Merckle Group on an emergency basis; however, Adolf Merckle, who had risen to such heights from a small industrialist that his group's income had become around 30 billion Euros, could not bear the loss of his investment power.	Some time ago, the same banks had agreed to give loan on emergency basis to the Merckle Group, but Adolf Merckle who started as a small industrialist and rose to this position and the annual income of whose industrial group was around 30 billion euros could not bear the loss of his investment powers.
When Adolf Merckle took charge of his family's business after the death of his father, he greatly improved the business very quickly through a process of modernization.	When Adolf Merckle took charge of his family business after the death of his father, he managed it on the modern lines and gave it a tremendous boost.	When Adolf Merckle took over the family business after the death of his father, he organized it on modern principles and soon made enormous progress.
He named his company "Ratiopharm," now the biggest and most successful pharmaceutical company in Germany.	He named his company Ratiopharm, which is an extremely successful and very large pharmaceutical firm of Germany today.	He named his company Ratiopharm, which today is a highly successful and a very large drug manufacturing company in Germany.
Until recently the company was worth between 5 and 6 billion euros, and it still generates an annual income of 8.1 billion euros. After the tremendous success of Ratiopharm, the Merckle group purchased several large institutions, including HeidelbergCement, a manufacturer of construction materials, and Kaessbohrer, a manufacturer of special vehicles.	Until sometime ago, the business worth of this pharmaceutical firm was between 5 and 6 billion Euros, and even now it earns 1.8 billion Euros annually. After the huge success of Ratiopharm, Merckle Group purchased many large firms, which included a company named Heidelberg Cement manufacturing construction materials to the company named Kaessbohrer, which manufactures a special type of vehicles.	Until some time ago, the business worth of this pharmaceutical company was between 5 and 6 billion euros and it still makes an annual income of 8.1billion euros. After the tremendous success of Ratiopharm, Merckle Group acquired many large companies; ranging from the building and construction material company, Heidelberg Cement, to the special vehicles manufacturing company, Kaessbohrer.
The number of Merckle Group employees worldwide is nearly 100,000, and the Ratiopharm pharmaceutical company has always held a special place amongst its assets.	The number of the employees of Merckle Group around the globe is one-hundred thousand and in its assets, Ratiopharm, the drug manufacturing company, has always held special importance.	The worldwide workforce of Merckle Group is almost 100,000 persons, and Ratiopharm pharmaceutical company has always enjoyed special significance.
In his life Adolf Merckle had said on several occasions, "This is our fourth generation of drug manufacturers.	Adolf Merckle had said this many times in his life: "We have been manufacturing drugs for four generations.	During his life Adolf Merckle said on several occasions, "We have been making medicine for the last four generations.
Now this company's administration is with my children and I am hopeful that in the coming few hundred years it will remain under my family's administration."	Now the management of this firm is in the hands of my children and I hope that this firm will still remain under my family's management for a few hundred years.	Now the control of this company is in the hands of my children and I hope that for the next few hundred years it will remain under the administration of my family.
After the suicide of Adolf Merckle, banks approved a temporary loan of 400 million euros to his VEM group, but on the condition that VEM will have to sell Ratiopharm so that the group's financial situation can be improved over the long term.	After the suicide of Adolf Merckle, banks have approved interim loans worth 400 million Euros for his group VEM, but on the condition that VEM has to sell Ratiopharm so that the financial condition of this group could be improved on a long-term basis.	After Adolf Merckle's suicide, the banks have approved 400 million euros of bridge VEM loan for his group but on the condition that Ratiopharm has to be sold so that the VEM financial condition of this group can be improved over a long term.
Thus after the death of Adolf Merckle, the Merckle group will not be the same as it used to be.	This way, after the death of Adolf Merckle, the Merckle Group would not remain the same like it used to be.	Also, after the death of Adolf Merckle the Merckle Group will not be the same as it used to be.
Crime Rate of Foreigners in Germany	Crime Rate among Foreigners in Germany	Crime Rate among Foreigners in Germany
According to recent statistics, between 2004 and 2007 the crime rate of foreigners	According to the latest statistics, the crime rate among foreigners between 2004 and 2007	According to recent statistics, crime rate among foreigners, between 2004 and 2007,
decreased from 22.9 percent	has reduced from 22.9 percent	has fallen from 22 percent to 21
to 21.4 percent.	to 21.4 percent.	per cent.
According to Joachim Herrmann, Interior Minister of the Bavarian Province, this only appears to be a positive change.	According to Joachim Herrmann, the Interior Minister of Bavaria Province, this is apparently a mere positive change.	According to the Interior Minister of Bavaria province, Joachim Herrmann, this is just a superficial positive change.
He said, "It is necessary to keep in mind that the number of foreigners obtaining German citizenship is increasing.	He said: "It should be kept in mind that the number of foreigners seeking German nationality is increasing."	He said, "It should be kept in mind that the number of foreigners obtaining German citizenship is increasing.
Therefore, when presenting the statistics, this fact should also be made clear that even when the criminal is a German citizen, his background may be foreign.	Therefore, this fact should also be mentioned in the statistics that although the person who commits a crime is a German, he/she also has a foreign background.	Therefore, statistics should mention that although the one committing crime is a German citizen; his background is foreign.
Herrmann said that in 2010 his province will take this into account when collecting data about criminals.	Herrmann said that from 2010, his province will keep this fact in mind while collecting statistics about criminals.	Herrmann said that his province will keep this in consideration while gathering statistics from 2010 onward.
In addition to Bavaria, thinking is being done along the same lines in the province of Hamburg.	Besides Bavaria, the province of Hamburg is also thinking on the same lines.	Apart from Bavaria, Hamburg is also thinking on these lines.
CDU's Senator of Internal Affairs Christoph Ahlhaus said, "When research is conducted in a scientific manner, one cannot draw up the results he would like to see ahead of time; they must depend on the data that emerges from the research.	Senator for Interior Affairs Christoph Ahlhaus of CDU said: "When investigations are done according to the scientific method, a person cannot compile results beforehand as per his/her own will, instead the results depend on the statistics which come after the investigations have been completed."	Senator of Interior Affairs, Christoph Ahlhaus, from CDU said, "When research is carried out on scientific lines, one cannot make conclusions of one's choice but they depend on the statistics gathered as a result of research.
Ahlhaus directed attention towards an analytical report from the provincial office of crime prevention prepared in 2006 in which the percentage of foreigners' involvement in crime was studied in the Bergedorf borough of the city of Hamburg.	Ahlhaus drew attention to an analytical report of a provincial crime control office, which was prepared in 2006, and according to which it was investigated that in Bergdorf, a part of the city of Hamburg, what percentage of the foreigners is involved in the crimes taking place there.	Ahlhaus drew attention to an analytical report of the provincial office on the prevention of crimes which had been prepared in July, 2006 and which ascertained the rate of crimes among foreigners in Bergdorf area of Hamburg.
Results showed that here	The results have shown that here foreigners'	Results suggested that the crime rate among the foreigners here
the rate of crimes committed by foreigners is less than the crime rate for the entire province.	rate of crime is lower as compared to the crimes taking place in the whole province.	was lower than that of crimes committed in all other areas of the province.
In contrast, when the crime rate amongst adolescents was studied in 2006 in Berlin, it was seen that the rate of adolescents with foreign background was	Contrary to this, when in Berlin, in 2006 the rate of crime in youngsters was reviewed, it was found that the percentage of youngsters having foreign background was 44	On the contrary, when the youth crime rate in Berlin during 2006 was analyzed, it became obvious that the rate of crimes in youths with foreign background
44.7 percent.	.7 percent.	was 44 per cent.
However, other German political parties, such as SPD, the environmentalist party Garbanz, and the left-wing party Linkspartei, are opposed to the idea of determining which German citizens have foreign background when gathering crime data.	However, the other political parties of Germany, for example Linkspartei, the party of environmentalists, Greens and the leftist party, SPD, are against this proposal that, while collecting statistics related to crimes, this information should also be collected in which German citizens have a foreign background.	However, Germany's other political parties such as SPD, the party of environmentalists and leftwing party Linkspartei are against the proposalthat data should be collected about foreign background of German citizens in the crime related statistics.
Want Quick Evacuation of Troops From Gaza: Olmert	We Want Army Evacuation From Gaza Soon: Olmert	We Want Immediate Withdrawal of Forces from Gaza: Olmert
Ehud Olmert urged that for a complete evacuation of troops, an agreement for a permanent and durable cease-fire is essential.	Ehud Olmert insisted that a permanent and stable ceasefire agreement is indispensible for complete evacuation of the army.	Ehud Olmert has stressed that permanent and durable ceasefire agreement is essential for complete withdrawal of forces.
Hamas and Israel announced a cease-fire on Sunday.	Hamas and Israel announced a ceasefire on Sunday.	Hamas and Israel announced ceasefire on Sunday.
Islamic militant organization Hamas said, while announcing a week-long cease-fire, that within one week Israeli forces should leave the Gaza Strip completely, and call off the blockade of the Gaza Strip.	While declaring a ceasefire for one week, the Islamic militant organization Hamas said that the Israeli army should evacuate completely from the Gaza Strip within a week and that a blockade of the Gaza Strip should be removed.	Announcing a one-week ceasefire, Islamic militant organization Hamas demanded that Israeli forces withdraw completely from Gaza Strip and blockade of Gaza strip be lifted.
On the other hand, Hamas leader Ismail Haniyeh said that in the Gaza War, God has granted victory to Israel.	On the other hand, the leader of Hamas Ismael Hania said that God has given victory to Israel in the Gaza war.	Hamas leader Ismail Haniya, on the other hand, has said that God has granted victory to Israel in the Gaza war.
He said that in the Gaza War, Israel has failed to achieve its objectives.	He said that in the Gaza war, Israel failed to achieve its goals.	He said Israel had failed to achieve its targets in the Gaza war.
Prior to this, on Sunday in the Egyptian city Sharm El Sheikh, a meeting of leaders of European and Arab countries was held in which the immediate evacuation of troops from Gaza was demanded of Israel.	Prior to this, on Sunday in the city of Egypt, Sharm ash Shaykh, a meeting of the leaders of Europe and Arab countries was held, in which Israel was demanded for immediate evacuation of its army from Gaza.	Prior to that, a meeting was held between the leaders of European and Arab countries at Sharm El-Sheikh which demanded of Israel, an immediate withdrawal of forces from Gaza.
In the meeting it was decided that an international aid conference will be held for Gaza very soon.	It was decided in the meeting that soon an international relief conference would be convened for Gaza.	It was decided in the meeting that an International Aid Conference for Gaza will be held soon.
German Chancellor Angela Merkel also attended the aforementioned meeting.	German Chancellor Angela Merkel also attended the said meeting.	German Chancellor Angela Merkel also attended the said meeting.
In the three-week war between Israel and Hamas militants, at least 1,300 Palestinians and a total of 13 Israelis including 10 soldiers were killed.	In the war, lasting for three weeks, between the warriors of Israel and Hamas, at least 1300 Palestinians and 13 Israelis, including 10 soldiers, were killed.	At least 1,300 Palestinians and thirteen Israelis including ten soldiers were killed in the three-week long war between Israel and Hamas fighters.
Meanwhile, Palestinian President Mahmoud Abbas has stressed the need to form a united national government in the Palestinian areas.	On the other hand, the Palestinian president Mahmoud Abbas has insisted on forming a united national government in Palestinian areas.	Palestinian President Mahmoud Abbas, on the other hand, has stressed on formation of a national unity government in the Palestinian areas.
Al Qaeda's Video Message for Germany	Al Qaeda's Video Message for Germany	Al-Qaeda's Video Message to Germany
In this thirty-minute video a person wearing a black turban, covering his face and carrying a gun in his hand, is sending a message to the German government.	In this video of 30 minutes' duration, one person, wearing a black turban, mask on the face and holding a gun in his hand is giving a message to the German government.	In this 30-minute long video, a masked person wearing a black turban and holding a gun is delivering a message to the German government.
The man introduces himself with the name Abu Talha and speaks in German.	This person is introducing himself with the name Abu Talha and is conversing in German language.	This person introduces himself as Abu Talha and is speaking in German language.
The video message also has Arabic subtitles.	This video message also has Arabic subtitles.	The video message has Arabic subtitles as well.
The Al Qaeda logo appears on the side of the screen, and the video is dated October 2008.	Al Qaeda's logo appears on the side of the screen and the video has the date of October 2008.	Al-Qaeda logo is displayed the side of the screen and the date October 2008, shows in the video.
In the message it is stated to the German government that if, by stationing military in such large numbers in Afghanistan, their country means to express its belief that it will not be attacked, what could be more naïve?	In this message, this has been conveyed to the German government that if they were exhibiting confidence that they would not be attacked due to deployment of such a huge army in Afghanistan, they are sadly mistaken and ignorant.	This message says to the German government that the deployment of such a large number of troops in Afghanistan indicates that this country believes it will not be attacked-this is nothing but foolishness.
The person calling himself Abu Talha did not threaten to attack Germany directly, however.	This person, calling himself Abu Talha, has however, not given a threat to Germany of direct attacks.	Although this person, who called himself Abu Talha, did not threaten direct attacks on Germany.
Currently the number of German troops included in the united NATO army in Afghanistan is approximately 3,500.	The number of German soldiers in the NATO coalition army, deployed at this time in Afghanistan, is around three-thousand, five-hundred.	Currently, the number of German soldiers in Afghanistan, in NATO's coalition army, is 3,500.
Last year, in October, the German Parliament approved a decision to send 1,000 more troops to Afghanistan.	Last year in October, the German parliament approved a bill sending 1000 more soldiers to Afghanistan.	In October last year, German parliament gave the legal authorization for deployment of an additional 1000 soldiers to Afghanistan.
This is the first message received by Germany from Al Qaeda.	This is the first message from Al Qaeda to Germany.	This is the first message from Al-Qaeda, received by Germany.
Regarding the message, Mikhail Lüders, a distinguished expert on matters of terrorism, says, "The recent suicide attack outside the German Embassy in Kabul is evidence that we should take this very seriously."	Prominent expert having insight in affairs pertaining to terrorism, Michael Luders says with reference to this message: " The recent suicidal attack outside the German Embassy in Kabul is a testimony that we should take it seriously under any circumstance.	Mikhail LUEDERS, an renowned expert on terrorist affairs, said regarding this message: "The recent suicide attack outside the German Embassy in Kabul is proof that we must take it seriously in every way.
For the past few years Al Qaeda has been sending video messages on the internet, and these kinds of messages have been followed by attacks.	For the last few years, Al Qaeda has been issuing video messages on the Internet, and there have also been attacks after such messages.	For the last few years, Al-Qaeda has been posting video messages on the internet, and such messages have also been followed by attacks.
On Saturday, the militant Taliban organization claimed responsibility for the suicide attack outside the German Embassy in Kabul.	The militant organization the Taliban has taken responsibility of the suicidal attack that occurred on Saturday outside the German Embassy in Kabul.	Militant organization, Taliban, assumed responsibility for the suicide attack outside the German Embassy in Kabul on Saturday.
Most German newspapers and advisors consider this attack to be related to the Al Qaeda message.	Most of the German newspapers and observers are looking at this attack together with Al Qaeda's message.	Most German newspapers and analysts are seeing this attack linked to the Al-Qaeda message.
"They are making Germany a target."	"They are targeting Germany	They are targeting Germany."
Fundamentalist Muslims have a negative and critical view of Germany's Afghan policy.	The fundamentalist Muslims see Germany's Afghan policy with critical eyes and as negative.	Fundamentalist Muslims see Germany's Afghan policy with a negative and critical view.
They accuse the German government of adopting biased policies, not only in Afghanistan, but in the Middle East as well.	They blame the German government for adopting discriminatory policies not only in Afghanistan, but also in the Middle East.	They allege German government for adopting a biased policy not only towards Afghanistan but for the Middle East as well.
And for this reason they very much consider Germany to be their target.	And because of this reason, they are taking Germany more and more as their target.	This is the reason why they are considering Germany, more and more as their target.
In the meantime, the German government says that, even before this video surfaced, German intelligence was already aware of it.	In the meantime, the German Government says that the German intelligence agency already knew about this video, even before it became public.	Meanwhile, German government has said that German intelligence had information about this video even before it became public.
The German Federal Crime Prevention Organization is busy examining this video message.	A German federal crimes control agency is busy examining this video.	German federal department of crime prevention is busy investigating the video message.
Obama Takes Office As American President	Obama has taken Charge of the American Presidency	Obama has Assumed Office of American Presidency
In this respect it is not only the American public but the whole world that has various expectations from Obama.	In this perspective, not only the American public, but the whole world has reposed different expectations in Obama.	In this perspective, not only the American public the entire world has various expectations associated with Obama.
Now that Barack Obama is receiving congratulatory messages from all over the world on becoming the American president, the expectations of him are also becoming clear.	Now when Obama is getting felicitation messages from the whole world on becoming the President of America, the expectations associated with him are also coming forth.	Now, when Barack Obama is receiving felicitation messages from across the world, expectation associated with him are also coming to the fore.
In this regard, German Chancellor Angela Merkel has expressed confidence in the new American President.	With this reference, German Chancellor Angela Merkel has shown confidence in the new American President.	In this regard, the German Chancellor has expressed confidence in the new American President
